City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
274,Jacareacanga,BR,-6.2222,-57.7528,96.28,28,37,4.27,scattered clouds
275,Conakry,GN,9.538,-13.6773,76.71,87,100,12.39,light rain
276,Misratah,LY,32.3754,15.0925,81.36,63,0,12.93,clear sky
277,Bolshaya Sosnova,RU,57.6713,54.6029,55.31,89,74,3.58,broken clouds
278,Thunder Bay,CA,48.4001,-89.3168,69.71,94,100,0.0,overcast clouds
279,Ponta Do Sol,PT,32.6667,-17.1,76.71,77,2,4.74,clear sky
280,Shelekhov,RU,52.2139,104.1,52.18,82,20,2.39,few clouds
281,Meulaboh,ID,4.1363,96.1285,75.87,87,100,3.62,overcast clouds
282,Lindi,TZ,-10.0,39.7167,69.21,83,0,5.95,clear sky
283,Omboue,GA,-1.5746,9.2618,72.21,89,78,8.43,broken clouds
284,Souillac,MU,-20.5167,57.5167,67.42,75,67,19.55,light rain
285,Forio,IT,40.7342,13.8646,84.49,79,0,5.99,clear sky
286,Pilar,BR,-9.5972,-35.9567,75.13,91,44,8.88,scattered clouds
287,Suntar,RU,62.1444,117.6319,56.37,93,100,3.83,overcast clouds
288,Renukut,IN,24.2,83.0333,81.64,75,100,2.3,very heavy rain
289,Aberystwyth,GB,52.4155,-4.0829,64.71,80,72,18.12,broken clouds
290,Upernavik,GL,72.7868,-56.1549,48.47,69,46,9.26,scattered clouds
291,Kaliyaganj,IN,25.6333,88.3167,81.39,85,100,7.14,light rain
292,Kuznechnoye,RU,61.12,29.8686,68.0,59,14,11.25,few clouds
293,Mount Isa,AU,-20.7333,139.5,53.37,37,0,9.22,clear sky
294,Gazanjyk,TM,39.2446,55.5154,85.41,52,0,12.73,clear sky
295,Chute-Aux-Outardes,CA,49.1168,-68.399,72.61,49,0,9.62,clear sky
296,Khasan,RU,42.4308,130.6434,66.65,97,98,2.28,overcast clouds
297,Padang,ID,-0.9492,100.3543,76.28,86,48,3.85,scattered clouds
298,Garowe,SO,8.4054,48.4845,80.29,41,100,18.28,overcast clouds
299,Sola,VU,-13.8833,167.55,80.58,79,80,19.48,broken clouds
300,Chapais,CA,49.7834,-74.8492,78.33,35,100,4.38,overcast clouds
301,Abu Samrah,SY,35.3029,37.1841,82.09,40,0,11.86,clear sky
302,Dalvik,IS,65.9702,-18.5286,46.76,90,100,5.86,overcast clouds
303,Katiola,CI,8.1333,-5.1,71.96,82,65,4.97,broken clouds
304,Jieshi,CN,22.8134,115.8257,82.99,84,6,2.95,clear sky
305,Ambon,ID,-3.6954,128.1814,78.24,15,31,12.15,scattered clouds
306,Taywarah,AF,33.35,64.4167,65.79,17,0,5.99,clear sky
307,Tocopilla,CL,-22.092,-70.1979,65.08,71,100,5.1,overcast clouds
308,Yaan,NG,7.3833,8.5667,74.61,85,100,3.91,light rain
309,Jumla,NP,29.2747,82.1838,64.08,97,100,2.19,overcast clouds
310,Khorinsk,RU,52.1657,109.7726,52.0,93,6,2.73,clear sky
311,Katsuura,JP,35.1333,140.3,77.25,80,78,7.49,broken clouds
312,Saint-Augustin,CA,51.226,-58.6502,56.5,89,100,13.4,overcast clouds
313,Santa Maria,BR,-29.6842,-53.8069,74.07,78,4,4.5,clear sky
314,Inuvik,CA,68.3499,-133.7218,62.82,53,100,6.87,overcast clouds
315,Swan Hill,AU,-35.3378,143.5544,40.55,79,28,8.48,scattered clouds
316,Puerto Montt,CL,-41.4698,-72.9447,47.23,76,40,11.5,scattered clouds
317,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,48.79,100,100,4.47,mist
318,Shache,CN,38.4167,77.2406,79.97,17,0,8.99,clear sky
319,Abapo,BO,-18.8333,-63.4667,86.16,30,57,12.35,broken clouds
320,Caravelas,BR,-17.7125,-39.2481,75.56,67,5,7.52,clear sky
321,Loa Janan,ID,-0.583,117.095,73.06,99,21,0.36,few clouds
322,Gorontalo,ID,0.5412,123.0595,73.71,95,71,1.79,broken clouds
323,La Ronge,CA,55.1001,-105.2842,64.78,52,100,13.49,overcast clouds
324,Vardo,NO,70.3705,31.1107,53.58,94,100,0.0,overcast clouds
325,Richards Bay,ZA,-28.783,32.0377,64.74,87,8,7.45,clear sky
326,Klaksvik,FO,62.2266,-6.589,49.12,91,97,19.24,overcast clouds
327,Cap Malheureux,MU,-19.9842,57.6142,71.47,58,95,5.99,overcast clouds
328,Bainbridge,US,47.6262,-122.5212,84.15,55,0,6.91,clear sky
329,Allapalli,IN,19.4167,80.0667,76.96,93,100,2.06,overcast clouds
330,Santo Antonio Do Ica,BR,-3.1022,-67.9397,81.54,82,69,1.16,heavy intensity rain
331,Half Moon Bay,US,37.4636,-122.4286,81.05,70,100,17.27,overcast clouds
332,Nome,US,64.5011,-165.4064,48.27,82,100,18.41,moderate rain
333,Roald,NO,62.5833,6.1333,60.75,94,75,3.44,light intensity drizzle
334,Puerto Carreno,CO,6.189,-67.4859,82.09,70,63,4.92,broken clouds
335,Bridlington,GB,54.0831,-0.1919,68.9,88,87,17.22,overcast clouds
336,Grand Gaube,MU,-20.0064,57.6608,71.38,58,96,5.99,overcast clouds
337,Paamiut,GL,61.994,-49.6678,49.48,86,73,18.45,broken clouds
338,Bilma,NE,18.6853,12.9164,97.52,13,92,7.2,overcast clouds
339,Ranau,MY,5.9538,116.6641,69.75,97,77,1.23,broken clouds
340,Adrar,MR,20.5022,-10.0711,100.89,14,7,10.74,clear sky
341,Hastings,GB,50.8552,0.5729,74.89,70,17,12.1,few clouds
342,Menongue,AO,-14.6585,17.691,56.86,38,11,5.03,few clouds
343,Goure,NE,13.9835,10.2704,77.02,62,100,5.5,overcast clouds
344,Gizo,SB,-8.103,156.8419,80.96,74,100,5.75,overcast clouds
345,Sangueya,GN,10.7,-14.3667,74.28,96,100,5.14,light rain
346,Tyukhtet,RU,56.5389,89.3011,51.66,97,6,5.28,clear sky
347,Yenagoa,NG,4.9247,6.2642,75.18,79,96,6.78,overcast clouds
348,Klisura,BG,42.7,24.45,64.06,46,0,3.62,clear sky
349,College,US,64.8569,-147.8028,60.75,73,75,5.75,broken clouds
350,Haiger,DE,50.75,8.2167,79.48,74,100,8.99,moderate rain
351,Karaton,ID,-6.3424,106.1045,72.7,94,30,2.08,scattered clouds
352,Olavarria,AR,-36.8927,-60.3225,65.01,43,79,15.28,broken clouds
353,Luwuk,ID,-0.9516,122.7875,76.3,84,72,3.0,broken clouds
354,Ketchikan,US,55.3422,-131.6461,57.67,82,100,6.91,overcast clouds
355,Rocha,UY,-34.4833,-54.3333,61.77,74,0,10.87,clear sky
356,Huarmey,PE,-10.0681,-78.1522,68.2,68,2,9.91,clear sky
357,Dieppe,FR,49.75,1.1667,72.32,93,0,6.04,clear sky
358,San Roque,ES,36.2107,-5.3842,74.23,78,20,6.91,few clouds
359,Haines Junction,CA,60.7522,-137.5108,54.84,56,100,7.56,overcast clouds
360,Brae,GB,60.3964,-1.353,56.12,86,91,11.83,overcast clouds
361,Porto Walter,BR,-8.2686,-72.7439,92.57,35,18,4.29,few clouds
362,Benalla,AU,-36.55,145.9833,37.92,73,12,4.92,few clouds
363,Vegreville,CA,53.5001,-112.0518,68.16,53,1,15.77,clear sky
364,Portneuf,CA,46.6906,-71.8901,84.31,66,100,10.56,overcast clouds
365,Vancouver,CA,49.2497,-123.1193,80.98,68,1,8.99,clear sky
366,Namibe,AO,-15.1961,12.1522,62.28,85,2,6.78,clear sky
367,Baturite,BR,-4.3286,-38.8847,87.03,39,58,6.53,broken clouds
