City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
184,Sao Filipe,CV,2022-07-18 00:55:25,14.8961,-24.4956,74.03,82,70,13.96
185,Sao Gabriel Da Cachoeira,BR,2022-07-18 00:53:17,-0.1303,-67.0892,76.84,82,16,1.81
186,Olafsvik,IS,2022-07-18 00:51:55,64.8945,-23.7142,50.13,85,58,5.82
187,Lorengau,PG,2022-07-18 00:54:32,-2.0226,147.2712,83.32,78,100,11.68
188,La Ronge,CA,2022-07-18 00:55:25,55.1001,-105.2842,79.05,34,75,5.75
189,Latung,PH,2022-07-18 00:55:26,5.5,120.8833,80.82,75,100,4.03
190,Gonen,TR,2022-07-18 00:55:26,40.1049,27.654,67.39,89,0,5.84
191,Boyolangu,ID,2022-07-18 00:55:26,-8.1181,111.8935,77.02,85,69,7.09
192,Anloga,GH,2022-07-18 00:55:27,5.7947,0.8973,74.71,85,33,11.92
193,Xapuri,BR,2022-07-18 00:53:10,-10.6517,-68.5044,72.64,98,100,5.79
194,Kismayo,SO,2022-07-18 00:55:27,-0.3582,42.5454,75.49,80,80,20.02
195,Phuthaditjhaba,ZA,2022-07-18 00:55:27,-28.5242,28.8158,43.54,29,0,3.06
196,Tocopilla,CL,2022-07-18 00:55:28,-22.092,-70.1979,61.02,69,1,4.79
197,Buford,US,2022-07-18 00:54:34,34.1207,-84.0043,84.29,77,96,1.05
198,Vao,NC,2022-07-18 00:55:28,-22.6667,167.4833,71.98,77,97,17.58
199,Goderich,CA,2022-07-18 00:51:42,43.7501,-81.7165,73.9,73,100,2.3
200,Pevek,RU,2022-07-18 00:55:28,69.7008,170.3133,32.23,90,100,27.58
201,Katsuura,JP,2022-07-18 00:55:29,35.1333,140.3,82.17,75,85,15.35
202,North Branch,US,2022-07-18 00:55:29,45.5113,-92.9802,85.98,73,8,6.38
203,Geraldton,AU,2022-07-18 00:55:29,-28.7667,114.6,57.61,94,75,8.05
