City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
449,Mitsamiouli,KM,76.24,clear sky,-11.3847,43.2844,Foyer ADM
450,Zaraza,VE,84.29,overcast clouds,9.3503,-65.3245,Hotel Zaraza
452,Port Moresby,PG,75.34,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
458,Kogon,UZ,80.64,clear sky,39.7228,64.5517,AFROSIYOB
461,Mabaruma,GY,79.95,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
466,Sibu,MY,77.31,few clouds,2.3,111.8167,RH HOTEL (4 Star)
467,Tierralta,CO,86.05,overcast clouds,8.1736,-76.0592,Hotel La Marqueza
469,Kontagora,NG,75.87,overcast clouds,10.3999,5.4695,Queens Guest Inn
471,Lucea,JM,85.86,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
473,Oistins,BB,87.89,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
477,Kutum,SD,77.92,light rain,14.2,24.6667,Dibbo areaمنطقة دبو
478,Keti Bandar,PK,83.34,overcast clouds,24.1447,67.4497,Haji laloo memon house
479,Itoman,JP,84.22,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
481,Tautira,PF,75.67,light rain,-17.7333,-149.15,Pension Oaoa
482,Toro,CO,81.79,overcast clouds,4.6117,-76.0814,"Finca La María Toro, Valle del Cauca"
483,Mastic Beach,US,94.48,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
486,Dewas,IN,75.34,light rain,22.9667,76.0667,OYO 71164 Hotel Suryaansh
487,Puerto El Triunfo,SV,87.91,overcast clouds,13.2833,-88.55,Hotel Jardin
491,Bandarban,BD,76.14,overcast clouds,22.1965,92.2262,HOTEL PLAZA BANDARBAN
492,Pontianak,ID,78.78,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
493,Jamtara,IN,84.85,overcast clouds,23.95,86.8,SM LODGE AND ROOMS
494,Morant Bay,JM,91.71,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
497,Guerrero Negro,MX,82.36,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
499,Margate,GB,75.87,few clouds,51.3813,1.3862,Premier Inn Margate hotel
